"","geoid10","m0009w","m1019w","m2029w","m3039w","m4049w","m5059w","m6069w","m70upw","f0009w","f1019w","f2029w","f3039w","f4049w","f5059w","f6069w","f70upw","m0009b","m1019b","m2029b","m3039b","m4049b","m5059b","m6069b","m70upb","f0009b","f1019b","f2029b","f3039b","f4049b","f5059b","f6069b","f70upb","m0009a","m1019a","m2029a","m3039a","m4049a","m5059a","m6069a","m70upa","f0009a","f1019a","f2029a","f3039a","f4049a","f5059a","f6069a","f70upa","m0009o","m1019o","m2029o","m3039o","m4049o","m5059o","m6069o","m70upo","f0009o","f1019o","f2029o","f3039o","f4049o","f5059o","f6069o","f70upo","m0009h","m1019h","m2029h","m3039h","m4049h","m5059h","m6069h","m70uph","f0009h","f1019h","f2029h","f3039h","f4049h","f5059h","f6069h","f70uph"
"12",12031001500,5,1,3,4,7,8,2,1,4,5,12,6,7,8,7,1,362,296,209,152,195,227,127,118,364,310,361,237,254,219,136,203,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,2,3,3,3,2,1,8,2,6,3,4,2,2,2,9,3,5,3,2,2,2,0,2,6,7,2,4,5,2,3
"13",12031001600,1,2,1,0,0,0,0,0,1,1,4,3,1,0,1,0,151,109,68,47,53,59,37,43,121,114,131,101,84,91,78,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,1,1,3,1,2,0,0,1,2,2,0,0,0,1,0,2,1,3,2,1,1,0,1
"14",12031002101,110,74,190,240,186,176,108,76,93,66,249,200,159,159,125,82,24,11,29,39,31,28,10,4,31,16,25,25,27,28,10,1,3,2,6,11,2,1,1,0,2,5,8,13,1,4,1,1,7,7,13,5,5,3,2,1,13,4,10,5,6,2,3,2,9,4,19,19,14,10,3,2,10,6,20,15,2,8,4,1
"15",12031002102,105,59,165,189,161,183,114,87,110,81,233,171,165,178,127,125,6,5,11,12,15,21,3,0,2,4,14,14,14,14,5,3,1,0,2,9,2,0,0,0,5,2,7,7,4,1,0,1,9,5,9,3,2,1,1,0,9,6,7,2,7,1,1,0,7,5,11,16,18,5,3,1,1,5,13,14,2,2,1,4
"16",12031002200,203,140,273,347,333,280,224,144,186,137,276,322,293,333,276,220,3,8,10,16,16,8,8,0,3,10,10,7,11,11,5,1,1,2,4,6,3,2,3,0,4,1,3,9,9,5,3,2,7,9,13,10,6,7,0,3,11,7,13,10,8,4,1,1,12,14,13,16,12,12,4,3,14,13,32,22,19,7,1,1
"17",12031002300,76,39,82,106,122,103,96,97,85,55,86,93,87,153,94,170,4,3,5,3,5,2,2,1,5,4,8,5,5,5,2,1,2,2,3,4,4,1,0,1,3,2,4,1,4,1,1,0,2,1,2,3,2,4,1,0,4,2,1,3,2,1,1,1,6,2,4,10,1,0,1,1,2,0,11,4,6,4,2,1
"18",12031002400,105,102,48,89,128,174,102,105,103,110,55,95,129,178,129,152,0,1,1,2,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,2,0,1,1,3,0,0,1,0,1,1,2,6,3,2,1,3,5,3,1,1,2,4,4,3,3,1,0
"19",12031002501,66,39,108,113,142,113,69,82,44,45,95,92,94,99,123,206,174,145,116,125,95,117,55,28,161,135,137,145,125,134,47,46,3,7,8,7,6,9,3,1,1,10,4,8,5,13,4,3,25,13,4,7,8,1,3,3,19,13,3,8,4,5,3,2,14,16,20,15,12,9,5,2,12,8,12,14,15,12,5,4
"20",12031002502,135,95,182,248,215,234,130,90,135,89,217,222,185,194,170,138,49,30,35,26,30,32,7,4,34,41,28,28,27,36,11,5,0,0,2,5,2,3,1,0,1,1,5,4,1,7,2,0,13,7,13,10,10,5,4,3,18,12,13,7,5,4,0,1,17,18,11,14,9,7,1,1,15,11,7,19,21,6,5,1
"21",12031002600,35,11,25,27,34,32,17,10,12,12,49,20,34,29,11,24,309,251,184,158,193,171,88,81,303,270,249,215,243,203,139,147,0,0,0,1,0,0,1,1,1,0,1,0,2,0,2,0,13,6,2,6,2,4,0,1,23,8,7,11,4,4,1,2,14,18,5,7,6,5,0,0,16,11,6,12,3,0,0,3
"22",12031002701,24,18,27,20,34,27,35,28,24,21,23,19,24,35,32,39,224,280,181,140,187,192,72,67,231,249,187,209,235,205,113,100,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,4,7,5,2,4,1,0,1,7,12,5,2,6,4,2,1,6,1,5,5,3,4,1,0,10,3,3,1,3,1,0,3
"23",12031002702,33,39,49,40,63,77,46,37,28,34,40,48,45,68,46,56,246,249,160,141,150,161,87,25,233,253,209,184,217,235,100,39,0,1,0,1,0,1,2,0,1,0,0,0,1,3,2,1,9,7,8,3,3,4,1,0,16,2,9,2,3,3,3,1,13,13,5,5,9,6,3,0,3,10,11,4,10,9,3,0
"24",12031002801,1,2,5,0,1,0,1,1,1,1,4,7,4,2,2,1,262,341,258,226,293,276,184,200,312,330,291,264,361,328,339,393,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,4,0,0,4,4,1,3,1,2,1,3,10,0,1,3,2,1,2,2,9,2,5,5,1,1,4,2
"25",12031002802,4,3,7,1,3,4,5,5,3,7,7,4,9,3,2,5,252,306,204,166,266,246,201,196,225,326,220,230,329,292,194,330,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1,1,0,1,2,0,2,4,6,2,1,3,2,2,2,5,5,4,5,4,0,6,1,4,5,3,6,2,3,1,1
"26",12031002901,1,3,2,3,5,1,4,2,1,3,4,2,7,2,0,1,262,272,202,145,156,233,113,123,248,235,209,204,241,259,135,268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,2,1,2,3,0,4,0,3,2,1,1,2,2,1,1,0,1,2,1,2,0,3,0,3,1,1,3
"27",12031002902,1,2,2,2,3,2,2,1,1,1,3,3,1,1,3,0,212,259,186,131,198,237,146,114,176,271,229,167,209,250,169,217,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,7,2,0,4,2,0,0,8,3,2,2,2,2,1,1,3,0,4,3,3,2,2,0,5,3,2,2,0,3,0,2
"28",12031010101,333,292,242,313,405,338,195,141,313,285,250,332,389,301,222,208,57,94,28,56,92,29,17,12,68,77,47,67,84,37,29,31,11,19,13,12,25,3,3,4,8,15,12,26,20,9,9,6,28,20,8,5,12,11,5,0,14,17,6,7,9,6,4,1,30,22,11,15,25,12,5,3,28,27,11,31,23,12,7,6
"29",12031010102,528,445,374,555,597,586,351,224,539,433,385,578,563,597,376,238,132,162,73,130,113,57,25,5,122,128,84,182,119,52,35,10,21,28,16,31,36,16,8,3,27,31,25,51,37,28,11,3,44,43,17,20,15,8,4,3,41,37,14,24,20,6,8,4,69,65,45,50,48,25,7,1,51,59,43,59,37,19,15,5
"30",12031010103,281,239,195,277,367,388,288,159,247,228,234,271,346,416,245,183,42,55,33,54,56,38,16,8,37,70,40,63,64,48,12,12,13,17,13,18,15,11,10,4,11,18,9,21,22,15,9,10,28,8,4,8,4,7,1,2,21,11,5,8,1,2,9,1,29,29,26,26,21,18,4,3,42,25,9,36,30,21,8,2
"31",12031010201,445,407,427,536,514,419,265,145,433,363,473,528,446,436,270,227,172,168,94,166,130,53,19,5,155,205,120,219,141,68,24,11,36,33,25,34,29,16,8,3,33,34,27,46,50,27,14,5,56,30,15,14,15,9,4,0,49,37,26,25,10,16,4,1,77,64,56,85,52,31,20,7,96,62,78,69,50,24,17,6
"32",12031010202,172,136,158,169,182,193,140,119,144,133,151,168,185,216,154,200,5,6,6,5,8,3,5,1,5,9,5,9,12,10,3,0,1,0,0,2,1,3,0,2,2,0,1,4,4,3,3,2,4,5,1,3,2,3,1,2,7,3,2,4,2,2,2,0,16,10,10,3,10,5,5,3,14,7,7,7,10,3,7,3
"33",12031010301,152,175,226,195,247,231,171,112,136,150,172,161,224,218,184,135,46,84,151,97,105,76,31,16,36,37,85,64,71,67,22,18,3,1,5,3,2,1,1,0,0,0,3,3,1,3,1,0,7,8,5,4,9,6,1,0,6,5,9,4,5,4,3,2,8,6,16,7,14,9,3,2,6,11,9,9,9,6,3,2
"34",12031010303,77,41,113,90,106,106,70,60,74,54,87,81,98,96,70,99,424,418,282,259,286,219,115,62,325,433,350,414,397,321,161,117,8,2,8,6,9,3,3,1,1,10,5,4,9,11,5,1,18,8,6,5,4,8,1,2,15,7,6,6,5,6,1,2,40,31,53,20,24,9,8,4,33,27,34,37,21,11,10,6
"35",12031010304,20,11,23,21,35,39,34,20,16,9,32,25,27,30,27,30,448,599,365,312,420,433,233,129,483,543,453,461,558,575,316,190,1,1,1,5,1,4,2,0,1,2,0,2,6,4,2,3,17,6,5,6,1,8,3,2,18,14,11,9,6,8,4,2,18,15,11,16,15,12,7,4,13,10,14,11,20,10,3,4
"36",12031010401,53,57,51,65,81,90,76,78,54,52,61,56,76,95,80,131,178,194,99,87,90,62,33,18,201,210,150,151,145,131,52,23,6,0,2,1,1,1,0,1,1,1,4,2,0,4,2,2,10,4,3,5,4,4,4,0,11,5,16,3,4,1,4,7,23,6,19,11,5,2,2,2,19,13,11,12,9,5,6,2
"37",12031010402,67,77,94,103,96,142,79,78,89,69,106,89,110,134,97,119,233,142,166,108,122,102,41,14,216,159,257,148,146,133,57,24,2,2,4,1,3,4,0,0,2,4,7,2,5,1,1,1,8,10,13,9,5,3,3,4,21,11,9,4,5,2,3,3,23,9,13,16,12,9,3,5,17,12,16,18,9,10,10,4
"38",12031010500,261,248,300,264,412,408,295,198,238,273,259,269,339,385,303,278,785,856,440,548,636,432,228,109,697,744,555,824,758,614,300,177,8,8,7,11,7,3,5,2,7,8,13,15,10,8,10,2,43,40,21,18,11,12,9,3,42,34,16,27,27,15,4,8,68,41,39,45,48,20,15,5,51,49,58,42,34,20,11,4
"39",12031010600,250,325,245,252,393,432,264,175,259,305,245,247,372,383,273,211,107,110,41,76,88,62,20,17,94,111,49,103,103,60,27,20,4,6,3,1,6,1,1,0,5,9,5,6,6,1,1,2,22,10,6,11,10,6,1,4,18,14,5,7,11,8,2,2,18,10,7,19,16,4,2,3,13,15,12,10,7,9,5,5
"40",12031010700,10,11,18,20,22,27,19,14,19,5,17,16,17,22,10,8,250,328,218,195,288,313,230,243,269,305,227,238,326,371,356,415,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,2,0,1,6,2,1,2,7,1,0,4,5,7,3,5,7,3,5,1,11,8,4,4,7,4,4,9,6,6,5,4
"41",12031010800,7,12,16,17,17,19,18,15,15,11,10,11,18,24,21,24,257,390,232,219,269,294,233,209,266,350,219,249,326,384,396,341,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,4,4,3,0,8,3,1,5,1,7,4,2,6,2,1,10,6,6,6,2,2,1,1,10,3,6,7,2,1,1,4
"42",12031010900,17,27,25,29,34,43,21,36,14,16,29,26,43,33,37,40,224,261,180,203,185,197,188,118,222,239,181,221,245,288,262,182,1,1,1,3,0,1,0,0,3,0,1,1,2,2,1,0,4,8,4,1,2,6,3,1,5,6,4,2,6,8,2,1,11,5,3,7,4,4,3,4,5,5,4,7,4,2,3,0
"43",12031011000,32,50,55,51,80,97,52,76,48,38,58,66,68,94,78,116,221,250,166,140,174,169,105,58,234,239,194,204,171,242,131,47,0,0,1,0,0,2,0,0,0,1,0,2,1,3,2,4,12,11,5,4,3,5,3,0,14,13,2,8,0,2,1,3,15,6,8,8,8,3,2,2,7,12,7,5,4,2,1,2
"44",12031011100,10,14,20,24,44,63,39,39,11,15,25,26,35,34,50,63,203,235,156,129,151,179,83,64,182,202,189,179,187,267,131,72,0,0,2,1,0,2,3,0,0,1,0,1,0,3,3,3,5,1,0,2,0,2,2,1,3,2,3,1,3,4,2,3,2,3,3,3,1,1,2,2,11,6,3,7,2,2,2,2
"45",12031011200,3,2,9,4,8,6,4,14,4,4,5,3,6,7,10,22,125,187,140,122,138,178,180,109,155,174,112,162,171,252,262,144,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,1,1,0,5,1,0,3,6,1,1,2,0,0,3,2,3,3,2,2,0,0,1,1,2,0,2,3,1,0,1
"46",12031011300,6,0,2,7,5,2,1,3,4,1,4,2,1,6,2,1,249,184,137,121,140,143,126,111,228,210,218,144,173,227,176,173,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,2,2,3,0,0,3,4,4,4,2,1,0,5,9,1,0,1,0,0,3,3,4,0,2,5,2,1,3,1
"47",12031011400,1,2,1,0,0,0,0,0,0,1,4,0,1,3,0,1,104,134,100,89,113,157,74,161,107,134,99,106,129,174,119,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,1,1,0,1,1,0,4,2,1,2,2,2,2,0,0,0,2,0,4,1,1,1,1,0,1
"48",12031011500,9,1,5,4,7,19,20,5,7,3,10,7,9,7,11,7,343,294,257,153,209,234,151,114,344,352,296,252,282,276,200,227,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,8,6,1,5,5,3,1,0,14,6,1,2,5,1,1,2,7,4,1,2,1,2,1,0,5,4,4,4,3,3,2,0
"49",12031011600,8,1,3,2,2,5,0,1,5,1,6,4,3,5,0,2,272,268,186,165,190,238,104,194,290,267,227,203,217,270,186,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,3,2,2,3,3,4,1,0,3,0,3,5,4,4,2,1,1,0,1,11,6,1,4,1,3,2,1
"50",12031011700,102,105,107,93,154,140,105,98,98,104,93,103,143,130,110,100,43,58,29,30,33,36,8,5,52,47,42,42,37,27,14,3,2,3,3,2,4,0,0,1,1,3,0,3,3,1,0,0,12,12,4,5,8,10,2,4,10,12,13,7,6,9,3,0,18,8,8,10,4,13,2,0,10,13,9,11,6,5,2,1
"51",12031011800,76,63,105,89,137,134,88,56,60,60,80,73,109,100,85,93,137,160,91,94,104,84,35,6,97,157,100,120,112,104,34,22,0,0,2,1,2,2,2,0,0,0,2,0,0,2,1,1,10,11,3,3,4,8,2,4,17,10,4,6,2,4,5,0,13,12,11,10,14,10,3,2,16,20,12,8,8,7,1,1
"52",12031011901,402,470,405,392,459,528,331,205,412,361,420,403,507,524,353,244,79,86,56,64,75,54,25,6,67,89,47,64,85,50,28,13,2,5,6,6,3,8,8,3,4,6,7,4,5,13,11,5,27,23,16,10,5,10,2,1,22,16,11,6,7,12,6,6,46,21,38,32,27,10,12,2,37,26,28,21,23,13,6,7
"53",12031011902,396,423,392,376,495,455,317,168,345,409,376,369,472,480,332,230,242,290,143,187,294,165,56,24,243,280,155,262,288,162,67,49,47,40,38,37,32,29,17,12,39,50,34,34,53,40,31,12,40,40,16,8,6,10,2,2,37,29,19,22,12,16,9,3,107,76,106,76,50,28,15,6,109,57,64,65,44,28,19,10
"54",12031011903,194,242,211,183,308,282,217,123,198,238,186,208,288,336,223,166,51,65,46,40,75,82,36,12,74,94,57,45,109,84,38,16,10,12,6,12,18,11,16,10,13,14,14,17,18,16,28,7,7,13,5,0,8,4,4,3,10,12,4,0,6,6,2,2,15,20,13,24,20,11,7,6,20,19,19,16,14,19,6,5
"55",12031012000,159,156,181,159,212,222,158,193,176,153,159,171,213,259,206,252,155,137,74,65,70,60,18,10,145,145,126,126,92,73,25,13,7,6,3,4,6,3,5,5,3,13,7,7,9,2,5,9,7,7,9,5,2,3,2,4,16,18,6,6,8,4,4,5,38,36,27,24,22,17,7,7,41,34,33,36,31,19,9,9
"56",12031012100,43,38,45,52,96,92,54,58,70,42,57,44,72,75,43,61,44,32,27,24,19,27,9,8,36,38,32,24,26,21,13,6,1,2,3,6,4,2,2,2,2,0,6,2,3,3,4,2,2,3,2,2,2,3,0,1,1,2,0,1,0,2,1,0,20,14,18,16,14,2,0,2,18,13,13,9,7,2,1,0
"57",12031012200,182,151,255,205,272,267,153,152,171,149,245,175,262,277,182,237,380,270,202,116,128,93,24,19,372,276,362,262,178,128,50,27,11,23,14,11,19,12,12,19,5,12,15,14,20,21,17,12,42,24,14,11,11,12,4,1,25,25,16,12,9,8,2,5,52,28,40,24,25,12,6,1,39,31,28,27,19,17,9,7
"58",12031012300,111,93,159,197,178,180,116,97,105,94,182,157,150,194,140,148,65,52,48,58,50,42,8,8,95,61,93,74,43,66,17,5,3,2,1,6,3,1,1,2,0,3,2,6,6,2,1,4,18,16,10,7,6,4,6,4,15,13,9,10,7,6,1,3,22,15,16,21,11,7,5,3,22,7,17,17,14,16,3,3
"59",12031012400,119,130,167,157,183,205,100,106,118,124,157,169,203,192,121,176,18,13,18,9,14,12,2,1,26,19,26,14,13,10,5,3,4,1,1,3,2,0,2,1,3,7,3,5,3,2,3,1,4,10,4,4,0,7,1,2,14,4,8,7,3,5,0,1,16,17,5,21,14,7,2,6,16,11,16,8,8,11,4,8
"60",12031012500,89,77,109,105,141,165,112,130,87,80,102,97,124,170,113,199,108,97,86,58,66,47,35,1,90,103,120,85,87,51,27,12,22,16,10,17,14,11,7,11,10,13,16,22,14,9,6,11,9,3,7,8,5,3,0,1,10,5,5,8,2,2,5,2,17,21,21,16,27,10,1,9,22,21,25,19,15,11,10,10
"61",12031012601,43,48,73,69,97,91,63,87,46,51,80,53,78,85,83,143,143,102,147,86,87,62,13,18,123,133,188,132,112,106,26,16,1,0,3,1,5,1,2,2,1,2,5,4,2,4,1,0,14,9,2,11,2,2,1,1,11,11,10,5,5,3,1,2,20,11,11,8,12,10,0,1,13,8,17,12,5,9,2,0
"62",12031012602,81,112,100,111,157,195,147,134,84,98,116,101,167,171,147,200,290,269,187,174,184,133,71,40,260,269,268,215,199,213,104,52,10,28,14,11,9,11,8,5,4,15,13,10,14,13,8,4,25,16,5,7,6,2,4,3,26,18,12,9,10,5,1,2,37,34,31,26,26,11,5,5,44,32,31,31,28,15,5,7
"63",12031012702,202,182,191,204,256,216,132,72,207,186,209,211,223,216,145,113,195,151,101,123,116,68,26,6,164,154,168,154,141,75,22,17,16,6,12,13,17,11,7,1,16,13,8,17,14,18,11,3,19,15,8,10,7,5,4,0,31,23,14,7,8,5,2,1,55,36,50,33,28,21,9,5,38,44,32,42,23,25,12,6
"64",12031012703,157,178,163,166,208,232,124,148,142,186,164,152,225,239,178,186,136,153,68,97,101,81,33,14,164,131,108,127,115,88,37,40,14,24,18,22,17,23,21,10,16,20,21,17,25,42,17,9,33,23,13,8,6,7,3,3,16,19,10,11,7,5,1,0,38,36,32,22,21,26,16,11,35,27,30,23,31,33,14,18
"65",12031012704,78,76,95,120,113,116,76,57,70,60,122,88,115,123,87,73,276,285,163,186,168,124,56,4,264,276,258,309,241,147,70,15,20,22,20,24,13,17,11,7,16,23,17,26,29,25,14,14,38,23,12,6,5,1,2,3,29,9,22,10,2,10,3,3,78,48,51,54,35,30,16,4,47,43,53,49,42,30,14,8
"66",12031012800,162,169,174,164,188,228,155,145,155,147,162,173,195,225,188,208,270,280,143,161,163,154,64,34,244,280,200,243,220,177,95,54,10,18,34,17,25,24,27,27,11,17,26,13,27,28,42,30,23,32,13,11,10,6,6,6,33,34,16,16,11,4,6,8,73,72,37,50,41,25,15,20,53,81,42,54,49,37,24,21
"67",12031012900,78,78,90,105,124,136,82,95,54,84,89,85,103,136,106,156,38,66,27,50,38,34,12,7,46,64,34,52,43,40,24,8,5,4,3,6,2,4,4,2,2,9,1,9,7,3,7,3,8,12,8,3,1,5,0,1,8,8,4,3,6,5,2,1,22,20,10,12,14,5,3,2,14,12,10,10,11,8,2,2
"68",12031013000,176,190,55,92,185,200,139,172,139,179,59,105,222,212,169,206,0,1,0,2,1,0,1,1,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,1,1,2,2,2,0,3,2,0,1,1,5,3,0,2,1,0,2,12,8,1,2,7,2,1,2,1,8,1,2,5,2,1,1
"69",12031013100,87,110,88,85,116,139,76,100,102,88,85,103,111,164,101,158,25,27,29,23,9,5,1,1,9,16,29,20,19,7,4,2,0,1,3,2,4,2,1,0,2,2,2,0,1,5,1,0,7,4,6,4,1,1,0,0,12,6,10,4,1,0,1,2,13,10,17,8,6,6,3,1,8,12,10,11,6,6,1,3
"70",12031013200,71,119,641,89,58,30,17,12,83,49,152,51,28,25,14,17,17,32,151,28,5,2,0,0,20,19,41,9,4,1,0,0,0,4,21,5,5,0,0,0,2,1,8,4,0,1,0,0,15,13,32,3,0,1,0,1,9,5,12,3,2,1,0,0,46,41,129,26,8,1,3,0,35,16,52,11,7,2,1,0
"71",12031013300,179,166,255,245,281,264,181,145,193,161,248,233,257,260,262,241,273,193,156,149,133,91,34,14,246,208,205,212,181,122,50,31,21,16,29,15,17,17,14,8,15,11,28,29,28,36,22,11,46,27,24,17,8,12,4,6,44,26,19,21,15,16,9,6,56,64,57,51,39,21,16,7,68,51,45,63,53,20,21,15
"72",12031013402,172,153,176,193,226,229,155,104,155,142,186,191,215,244,169,160,117,80,73,75,65,52,15,8,127,110,113,114,92,64,24,14,0,3,2,5,6,7,8,4,1,4,6,5,7,11,13,7,33,24,17,14,6,7,3,1,33,15,21,10,8,14,3,1,44,35,60,47,19,13,14,4,64,24,33,33,23,22,17,8
"73",12031013403,76,86,153,106,137,152,122,87,78,84,149,92,121,151,120,128,99,82,142,87,57,38,23,11,73,99,152,97,71,51,22,7,4,3,14,1,2,5,6,2,2,3,2,4,5,3,7,5,21,6,12,6,5,4,6,1,12,12,12,6,4,7,5,4,28,12,22,27,11,11,6,3,14,20,30,21,16,11,6,8
"74",12031013404,48,57,151,68,96,157,100,85,61,71,130,69,113,158,96,113,99,73,92,73,44,41,21,6,100,74,124,78,84,51,20,13,5,13,8,10,5,8,11,11,5,2,4,10,10,8,17,13,15,7,12,8,7,5,2,2,18,14,10,8,6,3,3,1,43,21,31,17,26,15,10,5,39,16,39,20,18,12,6,3
"75",12031013502,80,85,115,77,132,126,63,21,94,73,107,92,118,110,62,28,112,162,69,111,137,77,24,5,103,145,99,127,161,86,35,9,8,13,16,6,13,11,12,4,3,16,7,16,16,29,13,4,14,16,5,1,2,6,1,1,10,12,7,3,4,3,5,0,38,28,25,30,19,15,11,2,33,20,24,24,22,16,6,6
"76",12031013503,232,187,304,286,255,307,216,132,220,198,309,251,278,320,203,198,281,312,203,178,184,98,57,14,293,343,244,268,244,157,59,16,21,32,25,27,28,29,12,13,14,28,20,28,32,38,23,23,44,19,18,14,11,10,5,1,50,24,26,18,13,14,6,3,105,79,97,98,54,30,15,17,88,61,86,73,56,40,23,11
"77",12031013504,110,127,119,122,215,187,161,115,121,116,162,141,157,201,173,134,198,243,139,157,158,134,58,34,224,189,174,190,183,170,76,32,8,22,16,23,20,28,25,13,12,13,23,17,36,44,31,15,21,29,9,8,6,7,2,2,26,17,15,10,10,9,7,3,44,44,52,38,35,30,11,5,56,42,37,30,34,26,20,16
"78",12031013521,247,184,482,327,293,260,184,169,258,231,488,299,257,332,235,350,559,376,406,346,231,130,54,21,564,416,581,476,340,223,93,56,53,33,52,48,48,30,26,19,46,38,62,66,40,46,43,19,74,38,37,24,14,2,5,2,68,29,49,36,15,15,8,9,142,80,152,99,86,41,23,18,162,93,163,104,84,54,33,21
